Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Moldova,MDA,171.1847687,14,70.179,7980917076,18.65,Europe & Central Asia,,,,
2016,YR2016,Monaco,MCO,7149.518066,2.8,85.63,6471290794,..,Europe & Central Asia,,,,
2016,YR2016,Mongolia,MNG,168.4140472,15,70.22390244,11181350649,20.35,East Asia & Pacific,,,,
2016,YR2016,Montenegro,MNE,604.8866577,3.2,76.54146341,4376930578,23.2,Europe & Central Asia,,,,
2016,YR2016,Morocco,MAR,162.2150726,20.5,73.228,1.11573E+11,25.8,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Mozambique,MOZ,31.85357285,52.9,59.455,12069051237,6.9,Sub-Saharan Africa,,,,
2016,YR2016,Myanmar,MMR,59.67910385,43.1,65.64,63298361996,5.65,East Asia & Pacific,,,,
2016,YR2016,Namibia,NAM,409.7810669,47.6,60.81,10722018732,16.45,Sub-Saharan Africa,,,,
2016,YR2016,Nauru,NRU,981.883667,14.8,60.996,97276023.08,61,East Asia & Pacific,,,,
2016,YR2016,Nepal,NPL,47.1232872,31.2,68.444,24524109484,4.05,South Asia,,,,
2016,YR2016,Netherlands,NLD,4644.020996,3.5,81.56097561,7.97164E+11,20.4,Europe & Central Asia,,,,
2016,YR2016,New Caledonia,NCL,..,..,77.359,8724568955,..,East Asia & Pacific,,,,
2016,YR2016,New Zealand,NZL,3702.371094,4.6,81.65853659,1.891E+11,30.75,East Asia & Pacific,,,,
2016,YR2016,Nicaragua,NIC,171.5748291,13.9,73.18,13286093388,23.45,Latin America & Caribbean,,,,
2016,YR2016,Niger,NER,22.68474007,69.3,59.228,10398861982,5.6,Sub-Saharan Africa,,,,
2016,YR2016,Nigeria,NGA,75.52328491,69.5,52.189,4.04649E+11,8.85,Sub-Saharan Africa,,,,
2016,YR2016,North Macedonia,MKD,347.4427185,9.5,75.4,10672467073,22.35,Europe & Central Asia,,,,
2016,YR2016,Northern Mariana Islands,MNP,..,..,77.392,1230000000,..,East Asia & Pacific,,,,
